"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page\Features.tsx", "TypeScript JSX", 0, 68, 0, 0, 4, 72
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page\Hero.tsx", "TypeScript JSX", 0, 44, 0, 0, 3, 47
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page\Testimonials.tsx", "TypeScript JSX", 0, 65, 0, 0, 5, 70
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\navbar\Navbar.tsx", "TypeScript JSX", 0, 224, 0, 18, 27, 269
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\navbar\SideNavBar.tsx", "TypeScript JSX", 0, 127, 0, 0, 22, 149
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\navbar\SideNavBarItem.tsx", "TypeScript JSX", 0, 186, 0, 0, 9, 195
"d:\CRM Purple\React\purple-crm-react\src\components\views\lead-management\LeadManagement.tsx", "TypeScript JSX", 0, 34, 0, 0, 13, 47
"d:\CRM Purple\React\purple-crm-react\src\components\views\manage-company-users\CompanyUsersManagement.tsx", "TypeScript JSX", 0, 166, 0, 4, 16, 186
"d:\CRM Purple\React\purple-crm-react\src\components\views\not-found\AccessDeniedPage.tsx", "TypeScript JSX", 0, 47, 0, 0, 8, 55
"d:\CRM Purple\React\purple-crm-react\src\components\views\not-found\NotFoundPage.tsx", "TypeScript JSX", 0, 41, 0, 0, 9, 50
"d:\CRM Purple\React\purple-crm-react\src\components\views\product-Management\ProductsManagement.tsx", "TypeScript JSX", 0, 213, 0, 4, 21, 238
"d:\CRM Purple\React\purple-crm-react\src\components\views\product-team-management\ProductTeamManagement.tsx", "TypeScript JSX", 0, 181, 0, 5, 19, 205
"d:\CRM Purple\React\purple-crm-react\src\components\views\settings\lead-settings\LeadSettingsPage.tsx", "TypeScript JSX", 0, 20, 0, 0, 7, 27
"d:\CRM Purple\React\purple-crm-react\src\components\views\team-management\TeamManagement.tsx", "TypeScript JSX", 0, 175, 0, 3, 21, 199
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useAccessModules.ts", "TypeScript", 126, 0, 0, 8, 28, 162
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useCompanySpecificDateRange.ts", "TypeScript", 57, 0, 0, 2, 10, 69
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useDateRangeIdChange.ts", "TypeScript", 43, 0, 0, 0, 6, 49
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useFormChange.ts", "TypeScript", 37, 0, 0, 1, 8, 46
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useFormValidation.ts", "TypeScript", 182, 0, 0, 2, 31, 215
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\usePaginationHandler.ts", "TypeScript", 133, 0, 0, 4, 24, 161
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useRecaptcha.ts", "TypeScript", 30, 0, 0, 0, 10, 40
"d:\CRM Purple\React\purple-crm-react\src\config\hooks\useScreenSize.ts", "TypeScript", 18, 0, 0, 0, 7, 25
"d:\CRM Purple\React\purple-crm-react\src\config\routes\LoggedInRoute.tsx", "TypeScript JSX", 0, 10, 0, 0, 5, 15
"d:\CRM Purple\React\purple-crm-react\src\config\routes\PrivateRoute.tsx", "TypeScript JSX", 0, 10, 0, 1, 5, 16
"d:\CRM Purple\React\purple-crm-react\src\config\routes\Route.tsx", "TypeScript JSX", 0, 183, 0, 0, 5, 188
"d:\CRM Purple\React\purple-crm-react\src\config\validations\RefreshToken.ts", "TypeScript", 36, 0, 0, 4, 6, 46
