"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\crm\purple-crm-react\src\components\modals\company-product-user\CompanyProductUsersModal.tsx", "TypeScript JSX", 50, 0, 0, 1, 9, 60
"d:\crm\purple-crm-react\src\components\modals\company-user\AddCompanyUserModal.tsx", "TypeScript JSX", 229, 0, 0, 3, 19, 251
"d:\crm\purple-crm-react\src\components\modals\company-user\CompanyUserAccessManagementModal.tsx", "TypeScript JSX", 391, 0, 0, 7, 39, 437
"d:\crm\purple-crm-react\src\components\modals\company-user\EditCompanyUserModal.tsx", "TypeScript JSX", 258, 0, 0, 2, 20, 280
"d:\crm\purple-crm-react\src\components\modals\leads\CreateLeadModal.tsx", "TypeScript JSX", 181, 0, 0, 11, 35, 227
"d:\crm\purple-crm-react\src\components\modals\products\AddProductModal.tsx", "TypeScript JSX", 335, 0, 0, 1, 26, 362
"d:\crm\purple-crm-react\src\components\modals\products\CreateCompanyProductCompanyUserModal.tsx", "TypeScript JSX", 189, 0, 0, 6, 16, 211
"d:\crm\purple-crm-react\src\components\modals\products\CreateCompanyProductTaxModal.tsx", "TypeScript JSX", 260, 0, 0, 2, 24, 286
"d:\crm\purple-crm-react\src\components\modals\products\EditProductModal.tsx", "TypeScript JSX", 416, 0, 0, 5, 44, 465
"d:\crm\purple-crm-react\src\components\modals\teams\AddTeamModal.tsx", "TypeScript JSX", 354, 0, 0, 8, 41, 403
"d:\crm\purple-crm-react\src\components\modals\teams\EditCompanyTeamModal.tsx", "TypeScript JSX", 245, 0, 0, 2, 24, 271
"d:\crm\purple-crm-react\src\components\subscription-module\CreateSubscription.tsx", "TypeScript JSX", 208, 0, 0, 54, 21, 283
"d:\crm\purple-crm-react\src\components\subscription-module\PaymentSubscription.tsx", "TypeScript JSX", 222, 0, 0, 64, 23, 309
"d:\crm\purple-crm-react\src\components\subscription-module\Subscription.tsx", "TypeScript JSX", 103, 0, 0, 8, 13, 124
"d:\crm\purple-crm-react\src\components\subscription-module\UpdateSubscription.tsx", "TypeScript JSX", 192, 0, 0, 14, 18, 224
"d:\crm\purple-crm-react\src\components\tabs\LeadSettingsTabs.tsx", "TypeScript JSX", 168, 0, 0, 5, 14, 187
"d:\crm\purple-crm-react\src\components\ui\ActionsDropdownButton.tsx", "TypeScript JSX", 13, 0, 0, 0, 2, 15
"d:\crm\purple-crm-react\src\components\ui\Button.tsx", "TypeScript JSX", 46, 0, 0, 6, 6, 58
"d:\crm\purple-crm-react\src\components\ui\DatePickerInput.tsx", "TypeScript JSX", 32, 0, 0, 0, 5, 37
"d:\crm\purple-crm-react\src\components\ui\DateRangeFilterDropdown.tsx", "TypeScript JSX", 84, 0, 0, 0, 8, 92
"d:\crm\purple-crm-react\src\components\ui\DateRangePicker.tsx", "TypeScript JSX", 54, 0, 0, 3, 13, 70
"d:\crm\purple-crm-react\src\components\ui\FormCheckbox.tsx", "TypeScript JSX", 18, 0, 0, 12, 3, 33
"d:\crm\purple-crm-react\src\components\ui\FormInput.tsx", "TypeScript JSX", 60, 0, 0, 20, 5, 85
"d:\crm\purple-crm-react\src\components\ui\Link.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"d:\crm\purple-crm-react\src\components\ui\MessageSnackbar.tsx", "TypeScript JSX", 40, 0, 0, 1, 6, 47
"d:\crm\purple-crm-react\src\components\ui\OtpInput.tsx", "TypeScript JSX", 86, 0, 0, 5, 9, 100
"d:\crm\purple-crm-react\src\components\ui\PasswordVisibilityToggle.tsx", "TypeScript JSX", 18, 0, 0, 0, 4, 22
"d:\crm\purple-crm-react\src\components\ui\ProductDropdown.tsx", "TypeScript JSX", 89, 0, 0, 0, 13, 102
