Date : 2025-03-29 17:10:46
Directory : d:\crm\purple-crm-react\src
Total : 306 files,  2384 codes, 267 comments, 216 blanks, all 2867 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        161 |      2,269 |        197 |        191 |      2,657 |
| TypeScript     |        141 |        102 |         56 |         22 |        180 |
| CSS            |          4 |         13 |         14 |          3 |         30 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\CRM Purple\React\purple-crm-react\src\@types\auth\forms\SignInFormDataType.ts                             | TypeScript     |         -5 |         -6 |         -2 |        -13 |
| d:\CRM Purple\React\purple-crm-react\src\@types\auth\forms\SignUpFormDataType.ts                             | TypeScript     |         -8 |         -4 |         -1 |        -13 |
| d:\CRM Purple\React\purple-crm-react\src\@types\auth\views\AuthLayoutProps.ts                                | TypeScript     |         -6 |         -6 |         -2 |        -14 |
| d:\CRM Purple\React\purple-crm-react\src\@types\auth\views\EmailVerificationType.ts                          | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\AccessManagementContextType.ts                 | TypeScript     |        -19 |        -13 |         -4 |        -36 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\AccessRightsModalProps.ts                      | TypeScript     |        -16 |          0 |         -1 |        -17 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\CompanyUser.ts                                 | TypeScript     |        -12 |          0 |         -1 |        -13 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\CompanyUserProps.ts                            | TypeScript     |        -15 |          0 |         -1 |        -16 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\HandleSearchOptionProps.ts                     | TypeScript     |         -6 |          0 |          0 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\LoggedInUserContextType.ts                     | TypeScript     |        -16 |        -10 |         -3 |        -29 |
| d:\CRM Purple\React\purple-crm-react\src\@types\company-users\ManageCompanyUserContextType.ts                | TypeScript     |         -8 |          0 |         -4 |        -12 |
| d:\CRM Purple\React\purple-crm-react\src\@types\config\RoutesChildrenNode.ts                                 | TypeScript     |         -4 |          0 |         -1 |         -5 |
| d:\CRM Purple\React\purple-crm-react\src\@types\dialogue\DialogueProps.ts                                    | TypeScript     |        -10 |          0 |         -1 |        -11 |
| d:\CRM Purple\React\purple-crm-react\src\@types\error\ApiError.ts                                            | TypeScript     |        -11 |          0 |         -1 |        -12 |
| d:\CRM Purple\React\purple-crm-react\src\@types\forms\CreatePasswordFormTypes.ts                             | TypeScript     |         -9 |          0 |         -3 |        -12 |
| d:\CRM Purple\React\purple-crm-react\src\@types\home\loading-page\LoadingPageProps.ts                        | TypeScript     |         -4 |          0 |         -1 |         -5 |
| d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\NavBarProps.ts                                   | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\SideBarProps.ts                                  | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\home\navbar\SideNavBarItemProps.ts                           | TypeScript     |         -9 |          0 |         -1 |        -10 |
| d:\CRM Purple\React\purple-crm-react\src\@types\lead-management\LeadManagementProps.ts                       | TypeScript     |        -23 |          0 |         -2 |        -25 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddCompanyUserModalProps.ts                            | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddCompanyUserStateType.ts                             | TypeScript     |         -6 |          0 |          0 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddProductModalProps.ts                                | TypeScript     |         -7 |          0 |         -2 |         -9 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\CreateCompanyProductCompanyUserModalProps.ts           | TypeScript     |         -9 |          0 |         -2 |        -11 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\CreateCompanyProductTaxModalProps.ts                   | TypeScript     |         -8 |          0 |         -2 |        -10 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyProductModal.ts                             | TypeScript     |         -9 |          0 |         -2 |        -11 |
| d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyUserProps.ts                                | TypeScript     |         -8 |          0 |         -2 |        -10 |
| d:\CRM Purple\React\purple-crm-react\src\@types\products\ProductTaxManagementProps.ts                        | TypeScript     |        -13 |          0 |         -1 |        -14 |
| d:\CRM Purple\React\purple-crm-react\src\@types\products\ProductsManagementProps.ts                          | TypeScript     |        -19 |        -14 |         -4 |        -37 |
| d:\CRM Purple\React\purple-crm-react\src\@types\team-management\AddTeamFormDataState.ts                      | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamListProps.ts                      | TypeScript     |        -11 |          0 |         -3 |        -14 |
| d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamUsers.tsx                         | TypeScript JSX |        -11 |          0 |         -1 |        -12 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\ButtonProps.ts                                            | TypeScript     |        -16 |         -3 |         -3 |        -22 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\DateRangeFilterDropdown.tsx                               | TypeScript JSX |         -6 |          0 |         -2 |         -8 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\DateRangePickerProps.ts                                   | TypeScript     |         -5 |         -1 |         -1 |         -7 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\FormCheckboxProps.ts                                      | TypeScript     |         -6 |         -6 |         -2 |        -14 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\FormInputProps.ts                                         | TypeScript     |        -25 |         -7 |         -2 |        -34 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\MessageSnackbarProps.ts                                   | TypeScript     |        -17 |          0 |         -4 |        -21 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\PasswordVisibilityToggleProps.ts                          | TypeScript     |         -5 |          0 |         -1 |         -6 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\RadioButtonProps.ts                                       | TypeScript     |        -15 |          0 |         -1 |        -16 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ui\textAreaInputProps.ts                                     | TypeScript     |        -18 |          0 |         -1 |        -19 |
| d:\CRM Purple\React\purple-crm-react\src\App.tsx                                                             | TypeScript JSX |        -14 |        -12 |         -4 |        -30 |
| d:\CRM Purple\React\purple-crm-react\src\assets\animations\EmailSentAnimation.tsx                            | TypeScript JSX |        -10 |         -7 |         -5 |        -22 |
| d:\CRM Purple\React\purple-crm-react\src\assets\animations\LoadingSpinner.tsx                                | TypeScript JSX |         -9 |          0 |         -5 |        -14 |
| d:\CRM Purple\React\purple-crm-react\src\assets\styles\AuthLayout.css                                        | CSS            |        -17 |          0 |         -1 |        -18 |
| d:\CRM Purple\React\purple-crm-react\src\assets\svg\AuthSideSvg.tsx                                          | TypeScript JSX |       -308 |          0 |         -3 |       -311 |
